probe,closestTSSstrand,distTSS,closestTSSgene,closestTSSpos
cg02982745,+,639,TMEM70,74888429
cg10666410,-,-326,PPP2CA,133561764
cg01499217,+,50,APCDD1,10454631
cg03355190,+,-258,KNL1,40886446
cg26258877,-,225,KRTCAP2,155145780
cg06768188,-,17,PLTP,44540794
cg04683119,+,-483,GUF1,44680436
cg24586432,+,-388,SCLY,238969641
cg06415678,-,-54,CHMP3,86790566
cg13030404,-,298,C4orf36,87813575
cg05531044,-,71,NPHP3,132441253
cg13401987,+,-385,APH1B,63569803
cg21836627,+,-3219,TRIM31-AS1,30073016
cg11930768,+,-53,CRELD1,9975517
cg08941759,+,5,CHCHD6,126423082
cg05774787,+,-183,DNAJC4,63997903
cg26910092,-,192,FN1,216300791
cg02643218,+,-820,NPR3,32710754
cg20744304,-,-121,ZNF433,12146494
cg11213987,+,92,PELP1-DT,4607524
cg17634490,+,37,WDR93,90234041
cg26891924,-,-64132,LINC00708,8310268
cg12548629,-,-61,CDK6,92463273
cg09398185,+,100,IFIT2,91061802
cg01477963,-,579,ZDHHC20,22033442
cg12269355,-,-81,NT5C,73127837
cg15421236,-,215,TMEM65,125384942
cg13000014,+,571,NUP205,135242664
cg16433211,-,-71,EPM2AIP1,37034622
cg07502168,-,-366,PTPN14,214724945
cg05174899,+,158,MRM1,34958011
cg14382259,+,-279,GTF2I,74072043
cg13019878,-,8423,MTA1-DT,105886076
cg07841195,-,134109,STARD13,34250931
cg19556948,-,38,LIN54,83934094
cg25809410,+,279,VARS2,30882014
cg14186584,-,2058,LINC01962,180618908
cg10864596,+,9,ZNF354C,178487373
cg10471437,-,573,GSG1L,28075035
cg21548096,-,54,CPM,69326951
cg06247283,-,-36522,B4GALT6,29266006
cg22977254,+,-228,ENO2,7023743
cg10523996,+,38,CHCHD6,126423082
cg04577214,+,-4798,LRFN3,36427275
cg25014222,+,-859,ESRRA,64072995
cg02656741,+,-252,SDHC,161284170
cg17053075,-,2,FAM136A,70529199
cg03723556,-,-120,MAP3K2,128145551
cg14335782,+,22,MAP1LC3A,33146521
cg04608317,+,197,LSM8,117824217
cg25053334,+,-55,DDX47,12966279
cg16402873,+,-27,CEP55,95256368
cg06889746,+,67781,MIR4714,99327654
cg11149452,-,-147,GRB2,73401759
cg10625578,-,33,TRAIP,49893997
cg12955583,+,326,KNDC1,134973722
cg13795465,+,44,EHD3,31457017
cg07763047,-,573,GABRB2,160975410
cg22154024,+,-271,ASCL1,103351451
cg17137980,-,-46,RTL10,19842397
cg24495844,-,-150,KCNJ11,17410893
cg25245322,+,71,NABP2,56618125
cg00845219,-,-52,RTL10,19842397
cg03309786,+,1734,PTMA,232573234
cg08606655,+,-219,MAPK14,35995584
cg03855276,+,-170,TEX264,51705267
cg11719885,-,-130,SERPINE2,224903357
cg08548478,+,325,AKAP9,91570175
cg14256386,-,19,RUFY2,70167034
cg22929808,-,-129,B4GALNT1,58026984
cg24788122,+,-299,BACH1,30671242
cg13248574,+,-2830,LINC02288,77507391
cg06545693,+,-303,TPGS1,507496
cg01262948,+,17444,CIDEA,12254359
cg00037058,+,178,RBM45,178977163
cg27225570,-,63,DUSP15,30458330
cg17885579,-,194,NSMAF,59572412
cg11676189,+,4531,ANXA4,69870939
cg02679779,-,545,FAM114A2,153418470
cg16655754,+,222,ANKRD13B,27920149
cg07853758,-,277,HECW2,197457707
cg05415496,-,188,FAAP100,79519379
cg20967818,+,-38,CEP97,101443457
cg18470295,-,190,PIK3R5,8869024
cg19320816,+,120,HFE,26087656
cg12103840,-,-16,SNX3,108582244
cg07484894,-,-118,RBM39,34330182
cg11402586,+,-396,ITGA2,52285181
cg18235457,+,-172,TPM1,63340687
cg25867726,+,-266,SHFL,10196992
cg22944368,+,-3,PFKFB2,207226619
cg04776910,-,-116,ZNF497,58874117
cg24654176,-,413,ELOVL6,111119771
cg11055358,-,-21856,SEMA6B,4559696
cg21413754,-,-317,TRIM27,28891762
cg04123995,-,-199,CDC42EP4,71308140
cg25348504,-,-182,PPP1CC,111180696
cg14400079,-,162,THAP4,242576573
cg11951292,-,-46,TAF9,68665347
cg23791442,-,185,POLDIP3,43010889
cg02496111,+,-5807,ZNF205,3162586
cg00451215,+,-281,FMC1-LUC7L2,139026082
cg04361527,-,-641,PMVK,154909195
cg17949371,+,-366,SPATS2,49761244
cg22863122,-,445,DUSP7,52090587
cg04664127,+,-156,DPY19L4,95732127
cg16906595,+,-19,NDUFS8,67798147
cg00472375,-,-216,ENTPD4,23315160
cg23092576,-,-256,ECE1,21671997
cg17129141,+,-256,MSH2,47630205
cg16654143,-,-106,ZNF296,45579736
cg08723769,+,-15,RPL13,89627064
cg23036931,+,9,NDUFV3,44313418
cg12532001,-,1506,DLEU2,50656177
cg14214323,-,680,NFKBIA,35873955
cg03888579,-,-6482,SMIM12,35325350
cg05233311,+,-79,TPST1,65670320
cg25751588,+,232,GATAD1,92076795
cg16662139,+,-92,H2BC15,27806346
cg13577493,-,-13,CACNA2D2,50541065
cg15645638,-,220,TMEM74,109799823
cg22182611,-,9481,ADAMTSL5,1513018
cg13001893,+,-236,SNX11,46185127
cg12182991,-,-2175,BCL6,187454289
cg00741600,+,990,HOOK3,42752120
cg10875346,+,-58,ZNF341,32319801
cg08539090,+,111,CDKN2C,51434377
cg19099850,+,-11,LGALS3,55595969
cg27533604,+,355,ARHGAP31,119013229
cg07150925,-,157,BSN-DT,49591799
cg11527373,+,73295,TEX51,127656465
cg11308211,-,-29,SLC25A12,172750754
cg26225646,+,273,TBC1D17,50380958
cg09459044,-,190,PPA2,106395219
cg14018807,-,31,GCC1,127225650
cg26545834,+,-123,SENP2,185304082
cg04576042,+,197,ZMYM1,35544985
cg14252954,-,164453,TRIM33,115053824
cg00812502,-,50,DGCR2,19109925
cg20589862,+,1316,ABRACL,139349881
cg13865352,+,-12,IMPACT,22006633
cg23093902,-,4,ACYP1,75530727
cg02317763,-,31,GFOD2,67753219
cg01278387,+,-282,PHACTR3,58152563
cg07623702,-,358,ZSWIM7,15903018
cg26551688,+,3849,GASAL1,103819049
cg11382198,-,-91,DYNC1LI1,32612350
cg13334650,-,259,APBB1,6440324
cg02958321,+,1008,B3GNT5,182971040
cg13792528,-,-3053,LINC01623,28831454
cg25105066,+,-437789,GALNT17,70597129
cg25599763,+,-559,NASP,46049712
cg13471184,-,0,IER3IP1,44702735
cg18330372,+,78,NFKBIB,39390608
cg10231183,+,85,LINC01617,74791216
cg09880973,+,-176,KIFC1,33359599
cg03862540,-,351,PPP4R1,9614557
cg00569953,+,-89,RAB1B,66036109
cg04706904,-,-443,PACSIN2,43411155
cg26206910,-,607,RALGAPA1,36278501
cg07799366,+,-194,PAQR8,52226948
cg03908015,+,-44,HMX3,124895485
cg27086024,-,56,TMEM229B,67982202
cg11408812,-,-62,SYTL2,85565913
cg03405515,-,263,MAP9,156298117
cg09894698,-,471,ASCL2,2291818
cg16480692,-,135,TIGD7,3355430
cg08897854,+,-362,SPG7,89574795
cg18507379,+,-80,PCDHGB6,140787587
cg20201566,-,-26,MMAB,110011309
cg25991756,+,-796,PPP1R11,30034974
cg10659652,-,495,TNPO3,128695165
cg01076200,+,120,TSACC,156308316
cg18289746,-,6,TUBE1,112408685
cg02410825,+,104,MGME1,17949660
cg02400334,-,-74,RBP5,7282601
cg03251615,-,-104,MLF2,6862082
cg14336879,-,-66,SEZ6,27333051
cg03470736,+,63,METTL25B,156698260
cg20392105,-,-54,CDK5,150754984
cg02297063,-,-169,SBNO2,1132220
cg22560410,-,259,NRG2,139422884
cg23677570,-,21,RCC1L,74489638
cg13392150,+,-21,TMEM222,27648653
cg00763094,+,519,PRRC2C,171454668
cg20460253,+,-476,CLCN3,170541728
cg10284592,+,-643,ZDHHC5,57435585
cg11524330,-,15,GPN2,27216774
cg21143197,+,21665,MACF1,39549838
cg20960422,+,-8,SLC39A10,196521949
cg04024839,+,-13,ZKSCAN1,99613218
cg14565919,-,-373,DDOST,20987862
cg17286258,-,6,SF3B1,198299752
cg00578240,-,-96,WDR46,33257016
cg12914657,+,-20,GIMAP1,150413700
cg02146374,-,-5,TRAPPC1,7835264
cg16873848,+,283,TIGD5,144680000
cg22072651,+,1657,NCR3LG1,17373346
cg15819171,-,-350,EFCAB6,44208185
cg18672446,-,97,USP31,23160773
cg20363309,-,-224,TRIM37,57184241
cg14744768,+,42,MET,116312249
cg23473955,-,648,ABHD15,27894055
cg05937194,-,-14,PCOLCE2,142607925
cg02067211,+,-86,LINC03009,76178657
cg25277509,+,2950,FGF9,22245211
cg23054440,-,27052,NUMBL,41196069
cg04714088,+,-53,CMIP,81478412
cg21549294,-,-41086,LINC02375,127824617
cg26500707,+,347,HEATR3,50099880
cg02802309,+,6657,TUBA1C,49621801
cg25472998,-,-609,TFAP2A,10412624
cg10491652,-,51,MEX3A,156052256
cg02258246,-,479,LINC01948,55777596
cg14374504,+,-24,UBQLN1-AS1,86322749
cg14782471,+,97,ZNF114,48774543
cg01077085,+,-77,LMNB1,126112827
cg21958444,+,-386,MPHOSPH8,20207798
cg13063405,+,-236,EPHB3,184279572
cg00914777,-,119,MOAP1,93651242
cg03083542,+,29,PGAP2,3819127
cg25923777,+,-67,G3BP1,151151514
cg16480660,-,-55,TTC23,99791430
cg24398023,-,60,RHOA,49449409
cg25505476,-,-104,POGLUT3,108369111
cg15486822,-,-299,NUDT3,34360446
cg06851336,-,-74,LOC107984265,104678092
cg01510903,+,110,KRT18,53342638
cg01734140,+,429,PAQR4,3019348
cg12520919,+,-457,RPL28,55897299
cg11337389,+,221,DGKA,56325846
cg25559103,+,-359,ADARB1,46494492
cg03524627,+,48,CDC25B,3776435
cg07904549,+,394,ATP11A,113344351
cg04134452,-,-83,RPS2,2014827
cg17702076,-,95,COPG2,130353588
cg08358813,-,290,NECTIN1,119599910
cg14994919,-,276,RNF25,219536725
cg23652770,-,82,CAPS2,75724104
cg21151883,-,-9,CCDC96,7044728
cg08589960,+,-89,OSGIN1,83986844
cg03846689,+,21,AMD1,111135819
cg17359064,+,145,SERF2,44084173
cg24621607,-,-363,TP53BP1,43802838
cg18440893,-,-122,ATXN1,16760415
cg07157825,+,-3,SCAND2P,85174690
cg04599533,+,122,LMLN,197687087
cg25559849,+,-153,LRRC27,134145696
cg25777054,+,55,BBS1,66278105
cg02963283,-,511,CAMKK2,121735622
cg24797187,-,-69289,REV1,100106479
cg14944647,+,-86,MIR129-2,43602943
cg24118894,+,12402,ARHGEF1,42432657
cg23936900,+,97,TOP1,39657461
cg27084121,+,-176,TBL3,2022053
cg20686432,+,-175,CDKN2AIP,184365788
cg06488775,+,-1864,CCL25,8117224
cg05399494,-,364,VTI1B,68141349
cg18404009,+,-17685,LRP3,33685235
cg18664712,-,10,CD74,149792473
cg23987548,-,-153,GRB2,73401759
cg00797821,-,1079,ZNF423,49890023
cg06891663,-,-95,MIDEAS,74227006
cg24778081,-,-164,RNH1,506768
cg16652790,-,-15,CCDC78,776880
cg13267177,+,-16,TNKS,9413421
cg03132197,+,-145,PHACTR4,28696250
cg00616525,+,-180,TMEM97,26646225
cg02959129,+,-151,TIMMDC1,119217393
cg21741781,-,200,BUD13,116643703
cg07851008,+,-190,RANBP2,109335937
cg25323809,+,-218,LSM14A,34663408
cg09962298,+,17,CHST14,40763182
cg10500406,+,-53,CPSF4,99036565
cg03631596,+,-75,BORA,73302060
cg02976090,+,-42,NIPAL3,24742291
cg21203438,-,355,L2HGDH,50778947
cg23249321,-,-126,TMX4,8000408
cg09991298,-,-299,ANKRD27,33166086
cg24023097,+,10,FHIP1A,152330327
cg04346366,-,61805,HRK,117319246
cg13208492,+,150,TSN,122513226
cg04817113,-,-348,ZBTB25,64971931
cg24973150,-,-34,HOXB7,46688379
cg01177956,+,-166,SLC4A2,150756675
cg20622026,-,-194,CIAO2A,64386037
cg20193324,-,20,SHISA2,26626154
cg04996852,-,9,CREBBP,3930121
cg10585161,+,-177,COMMD10,115420721
cg17299935,-,-286,CYGB,74533791
cg19840226,-,427,TBC1D2B,78370053
cg07111599,+,-159,STRAP,16035320
cg07565928,-,141,SNF8,47022204
cg16257518,+,0,CARF,203776997
cg06840699,-,18,DAD1,23058130
cg24350884,+,-43,SLFN5,33570090
cg12111170,+,-7,ATXN7,63897787
cg02363277,-,102,HSD17B1-AS1,40706820
cg25861458,+,-175,POMK,42948657
cg13458335,+,212,LOC101929536,40254647
cg01738164,-,-61994,FOXN3,90085509
cg16413687,+,-1374,ALX1,85673997
cg05129591,-,158,EBNA1BP2,43637961
cg02820810,+,114,LRCH1,47127304
cg08173692,-,725,PRR18,166721880
cg05351219,-,-138,RNPS1,2318127
cg19101460,-,5,GTF2A2,59949504
cg06492206,-,6,SLC19A2,169455182
cg14787290,+,88,WDR3,118472361
cg01217335,+,-137,ATG10,81267841
cg25337795,-,19,COX19,1015185
cg06966320,+,60,GTF2H2C,68856017
cg13646645,-,674,TRIM27,28891762
cg13962513,-,-56,LSM10,36863509
cg08442798,-,-2567,PDE2A,72385466
cg14940308,+,-3,EMX1,73144647
cg12245206,+,-131,MZF1-AS1,59070552
cg12988843,+,-24,CKAP2,53029612
cg02991063,-,50,PRDX3,120938324
cg19784848,+,693,SDHA,218434
cg00523012,+,3100,IER2,13261224
cg26826136,-,-19,GEM,95274547
cg18644787,-,-210,PLEKHM3,208890251
cg18875716,-,-110,ZNF43,22018984
cg04302946,-,-284,CUTA,33385884
cg01403305,-,27,UBXN6,4457791
cg07773642,+,185,PSMD7,74330711
cg05988699,+,1823,ADGRB1,143531009
cg06200494,+,-368,NAB2,57482896
cg09400392,-,-127,MBTPS1,84150547
cg10624175,-,-70,RUBCN,197463775
cg00369351,+,-61,BTN2A1,26458182
cg18920423,+,149,PTF1A,23481240
cg26107778,+,195,QTRT2,113775583
cg24707505,+,52,RBM45,178977163
cg09549848,-,88,LPAR1,113800367
cg00762326,+,-22,UBA52,18682533
cg22398909,-,65,GATB,152682159
cg22336401,-,-418,ENTPD8,140335809
cg26570218,+,162,DNAJC27-AS1,25194980
cg24589691,+,179,CDC123,12238186
cg08398855,+,-140,ZNF778,89284110
cg16651428,-,209,LRCH4,100183752
cg03111285,-,385,PGBD5,230562078
cg27051335,-,-864,CYP1A1,75017869
cg25088874,-,-133,BMPR1B-DT,95678684
cg16822606,+,420,C1orf50,43232919
cg19381780,-,-145,ZFP30,38146366
cg02480104,-,-85,MROH8,35807951
cg08049060,-,-22,TMEM115,50396952
cg05276175,+,-548,BRD2,32940860
cg16619395,-,2111,GPR149,154147979
cg17195934,+,74770,PDP1,94929150
cg03062002,-,1852,CCR10,40833861
cg08371659,+,6356,C20orf204,62667534
cg19570596,-,-60,NIPSNAP1,29977102
cg27142229,+,-165,YJU2,4247076
cg23870282,-,-196,SHQ1,72897596
cg01028364,-,19220,RAB27A,55562484
cg20889818,+,29739,NR2F2,96876993
cg26089074,-,-18,COPS3,17184560
cg26411261,-,-153,PBXIP1,154928575
cg14255396,-,90,ILF3-DT,10764548
cg11333835,-,-81,LUZP1,23495349
cg07624483,+,-48,TMEM132A,60691931
cg06255670,-,292,SEL1L3,25864610
cg23494874,-,-83,SEC31A,83812433
cg25432323,-,582,AARS1,70323409
cg10864145,-,7,CCL28,43397239
cg13237906,+,-268,SLC26A2,149340320
cg13686589,+,-6150,MNX1-AS2,156799000
cg14735227,+,-156,SFXN1,174905562
cg05886952,-,-221,RABAC1,42463473
cg21365077,-,-5364,CYP8B1,42917371
cg08502240,+,93,WDR18,984344
cg14248188,-,-1801,PTCH1,98271548
cg00905725,-,463,CEP104,3773775
cg07229938,+,-51,HMX2,124907651
cg10060875,-,-340,ZNF200,3285158
cg22312127,+,-34,NOC4L,132629001
cg26889840,+,-67,TMEM69,46153852
cg08782557,+,-194,NAA40,63706473
cg20581632,-,-96,PCYT1A,196014597
cg14826516,+,-88,SELENOO,50639439
cg18782736,+,-1509,KLHDC7B,50984327
cg16728516,-,115,MRPL20,1342673
cg10120925,-,0,FARSB,223520811
cg13933692,-,126,NDST1-AS1,149865555
cg03027977,+,51,UBN2,138915982
cg17236067,+,56,GALNT11,151722758
cg24482724,-,30507,MRPS24,43909116
cg02285115,-,-139,RN7SL2,50329567
cg21858106,-,8056,SLC19A1,46982939
cg25385684,-,463,MIR611,61560033
cg12639781,+,81,ZMYND11,180423
cg25994146,-,-3779,C19orf84,51893845
cg02950886,-,208,SIGIRR,417397
cg18708384,+,-89,FOXK2,80477607
cg22454227,-,-112,COPRS,30186263
cg25913520,-,9000,LINC01097,13533041
cg00168514,+,652,PRNP,4667101
cg06382786,+,-56,GDPD1,57297871
cg03431079,-,145,CISTR,54145619
cg25222263,+,-82,SLCO4A1,61273854
cg19454405,+,-52,PTPN23,47422510
cg21545849,-,-193,CHD6,40247016
cg11418036,-,603,ARL8A,202113865
cg17639894,+,-25381,ZRANB1,126630691
cg23005196,-,-41,NFU1,69664760
cg11219022,-,9,TTC21B,166810286
cg19078334,-,-467,TXN,113018787
cg06046430,-,-237,SOWAHB,77819297
cg06509661,-,180,TARBP1,234614925
cg07381668,-,-178,CEP170,243418583
cg15765054,+,-108,TIMM22,900368
cg00858417,+,88,YY1,100705480
cg08341673,-,-56,KANK3,8408146
cg10365178,-,646,ENO1,8938745
cg15535093,-,-119,TNKS1BP1,57092426
cg13969239,+,-94248,PRDM1,106534210
cg25880593,-,-158,BET1,93633667
cg06285925,-,-216,ABR,1083275
cg09854746,+,-167,SFT2D2,168195241
cg06061049,-,202,SMC6,17935077
cg01349267,-,-104,LINS1,101142389
cg18140760,-,265,MAP3K6,27693452
cg02487667,-,-178,MKS1,56296616
cg00745838,+,223,NDOR1,140100151
cg07582047,+,316,CCDC85B,65658143
cg26785250,-,162,NUP210,13461822
cg16296290,-,2327,FAAP20,2139172
cg17404915,-,-14,OVOL2,18038560
cg13599411,-,-44,PLEKHJ1,2236328
cg12199343,+,-61,RPLP2,809966
cg15465548,+,-68,KIF23,69706687
cg21660531,+,-56,EEF1B2,207024618
cg19857071,+,-32,LOC101929626,46599042
cg00598730,-,399,C16orf74,85784702
cg18194734,+,-192,AMER3,131513916
cg08856697,+,65,DCAF7,61627837
cg25698777,+,12,FAM91A1,124780678
cg12527429,-,-266,SERINC5,79551867
cg07774293,+,-224,TCEA2,62694550
cg23274604,-,39,NVL,224517874
cg05531284,+,-164,SRFBP1,121297669
cg01357263,+,-280,BCL7A,122459789
cg00509053,-,1095,LINC00938,46121704
cg08425479,+,-103,FAT4,126236109
cg23004710,-,-1069,RGL2,33266719
cg17736920,+,-123,EXO1,242011505
cg05882878,+,21,NDUFAF7,37458800
cg01762626,-,191,ANKS3,4784272
cg08084218,-,-29,HS1BP3,20850858
cg01453053,-,168,TOMM34,43589038
cg25990647,-,116,OPRK1,54164197
cg19696123,-,-41,FARSB,223520811
cg06459916,-,300,KRCC1,88355302
cg18573544,-,-403,BTBD9,38607705
cg19326622,-,-77,FBXO41,73511606
cg25960567,-,946,ITPR2,26986127
cg18781240,+,-143,WASF3,27131819
cg09368670,+,-105,PRPF38B,109234931
cg09385088,+,130,ALG1,5121843
cg18421529,+,-70,MRAS,138067420
cg17520942,-,-171,RGMA,93632440
cg22558474,+,-61,ENDOV,78388966
cg07462848,+,3240,NANOS3,13987947
cg19031374,-,47,BSN-DT,49591799
cg16650530,+,-126,TMEM39B,32538539
cg11399814,+,342,VPS13D,12290086
cg09285695,-,289,TRA2A,23571600
cg26421123,-,202,COMMD5,146078433
cg03298411,+,-58,TOMM22,39077961
cg09257488,-,370,LINC02609,91317195
cg13788301,+,58,TOM1,35695886
cg26795850,-,-399,RBBP5,205091106
cg16532711,+,-791,LIMD1,45636242
cg02450646,+,-40,PI4K2B,25235654
cg13298359,-,4897,PRKCZ-DT,1981509
cg06403126,+,32,PPP2R2A,26149023
cg04987499,-,-73,CYB561,61524000
cg09976989,-,-53,ERGIC2,29534105
cg11855526,-,33,MPPED2,30607101
cg23080354,-,6,PHF21B,45405886
cg14966496,-,-92,MIDEAS,74227006
cg13493559,+,242,PLCB3,64019001
cg05625773,+,-113,C6orf136,30614909
cg12226346,-,359,C6orf47,31628555
cg13219509,-,212,TNRC6B-DT,40440534
cg16180217,-,-33,DCBLD2,98620539
cg00688900,+,597,GGNBP2,34900767
cg08652404,-,-105,ZNF394,99097904
cg11789864,-,-330,ABCB10,229694454
cg10942903,+,10234,PTH1R,46923738
cg26168400,-,-34,TRAK2,202316181
cg02942159,-,240,RPS6,19380234
cg15844365,-,-55,NFU1,69664760
cg19300475,-,-21,DHRS13,27230097
cg15577559,+,305,MRPL19,75873908
cg00815109,+,-103,MFSD5,53645878
cg10641986,-,-113,SEPTIN4,56609421
cg20706005,-,-115,ZNF432,52552091
cg08124791,-,-240,CUTA,33385884
cg16774942,-,762,DDX17,38902316
cg07871384,-,-86,CDIP1,4588774
cg13741740,-,-3,TIFA,113207060
cg01757209,-,20,MIR4785,161264393
cg05964721,-,-115,LAMTOR1,71814343
cg19889152,+,-820,ITPR3,33589098
cg15785720,-,25,SAPCD2,139965009
cg08486961,-,626,DNAJB12,74114677
cg22397446,+,150,PHC2-AS1,33815952
cg13230386,-,-266,PODXL,131241387
cg06641299,-,-494,WNT9A,228135633
cg10318443,-,71,GLOD4,685520
cg05025164,+,-79,UVSSA,1340995
cg03938320,-,-500,ABHD11,73153132
cg21810188,+,-112,VCAN,82767562
cg03327347,+,-191,SOCS2,93963744
cg09950657,-,-249,KIF3C,26205366
cg07476548,-,-119,KATNAL1,30881148
cg17071536,+,377,AP5M1,57735688
cg06513194,-,-8593,BBC3,47735924
cg11493139,-,212,ARHGAP12,32217759
cg06489241,-,116,FAM98A,33824366
cg19576806,-,141,DHRS12,52377871
cg18715318,+,0,MRPL40,19420067
cg14130322,-,-102,CENPU,185655250
cg10409799,-,-14,ADAR,154600473
cg22965663,+,15,GSTZ1,77787378
cg12948796,+,-13,ATG16L1,234160318
cg11415914,-,-367,TGFA,70780958
cg16477317,-,-43,CEP76,12702776
cg24666733,-,-102,PASK,242089637
cg03668495,-,-304,SPRYD3,53473174
cg27297753,-,-98,EMC3,10052802
cg24734865,-,-20,MICU2,22178309
cg23938213,-,1653,FOXO1,41240778
cg13040009,-,-419,LSG1,194392920
cg24676409,-,10,ELF1,41635522
cg07550809,-,561,AP5B1,65548447
cg15388462,+,-124,MAD2L1BP,43597276
cg22937574,+,30,FOXJ2,8185311
cg14978304,+,281,NOS1AP,162039480
cg12197860,-,60,ROPN1L-AS1,10441963
cg09677724,+,-138,FCSK,70488497
cg09700630,+,-151,CNIH2,66045645
cg16799897,+,14585,CASP16P,3194291
cg22933154,+,40,CHURC1-FNTB,65381078
cg04366381,-,-21,CYRIB,130952057
cg06079428,-,-122,ADA,43280340
cg27304079,-,-346,NR3C2,149363566
cg09518715,+,-10693,MLPH,238395052
cg18809570,-,-47,RBM33-DT,155437100
cg15224187,-,-78,RAB6B,133614726
cg02021694,-,-111,P4HA1,74856624
cg04053204,+,306,MYADM,54372644
cg14553224,-,100,SRSF1,56084607
cg26596964,+,202,PAX2,102495152
cg26803837,-,-228,TPR,186344385
cg09983370,-,678,ATP8A1,42659122
cg18481137,-,1135,FOXP1,71632879
cg05714082,-,72,POLR1A,86333009
cg06062590,+,56,CMSS1,99536705
cg22761099,+,-18,BCL2L12,50169189
cg22684426,-,17,ARF3,49351270
cg05499262,-,-65,EPHA4,222437024
cg00858973,+,-16,MTURN,30174601
cg16763192,-,60,CPPED1,12897744
cg26531737,-,1083,RSRP1,25573945
cg14916315,-,-21854,SEMA6B,4559696
cg02053566,+,380,ATP5MG,118272320
cg00819163,-,-9,PTPRS,5340823
cg12632573,-,56398,BIN1,127839641
cg16869487,-,-59,HACE1,105307794
cg24743639,+,41,EHD3,31457017
cg22670349,+,-166,CCNYL1,208576363
cg21854725,-,153,SAMD10,62610995
cg20811266,+,-185,CAV1,116165062
cg06700856,-,198,LINC00526,5238028
cg22683035,-,-6054,TLE2,3029620
cg03761210,+,1377,C20orf144,32250132
cg27046102,+,-105,YTHDC2,112849390
cg00292857,-,-154,RNF139-DT,125486804
cg01580613,+,26,ANKEF1,10015634
cg02490453,-,-18398,ZNF629,30798526
cg13614092,+,80,NAGLU,40688258
cg03447080,+,-10,ZNF330,142142048
cg01020399,-,162,ZNF692,249153284
cg21570528,+,-130,AK4,65613535
cg06726747,+,-122,GGNBP2,34900767
cg11087736,+,-684,AP4E1,51200879
cg13397067,-,-89,HDAC11-AS1,13521553
cg18457775,+,-113,ATM,108093793
cg18022193,-,-317,R3HDM4,913219
cg20155440,+,16,ZNF92,64838767
cg02763968,-,-55,KLHL25,86338156
cg26479951,+,-261,NABP1,192542861
cg08970347,-,18361,MIR6843,27468268
cg26499487,-,-99,SNRPD2,46195250
cg23427963,-,21,IDI1,1095059
cg26304141,+,-29,KIF3B,30865453
cg24349573,-,3,ZBTB21,43430469
cg22133495,+,760,CDK12,37617738
cg17330200,+,-231,ERMAP,43282792
cg01017774,+,-162,GOLGA4,37284761
cg20064928,+,-470,STOX1,70587287
cg06153298,-,-332,PIEZO1,88851628
cg06155802,+,75,ARF1,228270408
cg12309957,-,-32,TUBA4A,220118640
cg12430845,-,259,NIPBL-DT,36876796
cg25243721,+,-19,XRCC4,82373365
cg23862792,+,1332,DAAM1,59655384
cg15857475,-,304,RECQL4,145743217
cg00642468,+,-45,ING1,111364969
cg10172932,+,372,PSMD1,231921580
cg15541609,+,364,YY1,100705480
cg05748073,+,3,NDUFAF8,79213117
cg13217206,-,-723,H2AC18,149814317
cg24903183,-,-25,SNX31,101661893
cg10005098,-,-144,FAM220A,6388598
cg08825571,+,10,MAF1,145159363
cg02644301,+,51,TECR,14640405
cg19179973,-,6,UBE3D,83775560
cg14274609,+,20,ATE1-AS1,123687826
cg14823287,+,-844,WBP1,74685564
cg16551483,+,62,ZFP3,4981761
cg19979946,+,522,NDFIP1,141488343
cg24999243,+,240,PGS1,76374729
cg17106222,+,-217,KL,33590560
cg11837402,+,55,MGME1,17949660
cg18404600,+,-65,NAGK,71295425
cg20985486,+,-55,RPL41,56510416
cg00005306,-,226,LOC730183,30709792
cg23526353,-,-25,TRMT10A,100484880
cg10599035,-,-3,MEA1,42981721
cg01046287,+,-44,NYNRIN,24868208
cg19383656,+,30,AP4B1-AS1,114355233
cg17400361,-,151,EIF2B4,27593205
cg13832045,-,287,ABCA2,139923374
cg09477198,+,335,PITHD1,24104907
cg20114781,+,-295,ADAL,43622548
cg02301929,-,68,ARSA,51066580
cg02269388,+,-443,TUBA1C,49658864
cg04678565,-,8968,BAK1,33548053
cg02566518,+,-62,FUT11,75532033
cg08755218,+,-3,TMEM208,67261032
cg24899361,+,-116,TSPO,43547564
cg02383154,+,-299,HLF,53343582
cg00303672,-,1749,NOL4L,31173135
cg05216888,-,207,VPS52,33239653
cg21457839,+,508,PTPRA,2854126
cg13206174,+,31,TLNRD1,81293263
cg23456851,+,-436,CARMIL1,25279601
cg23092844,-,367,STK39,169104105
cg22549420,+,-142,EMC4,34517216
cg17468312,-,-11894,EPHA2,16482564
cg24588375,+,-49,ZNF793,37997840
cg25455143,-,1350,MBD3,1592864
cg13038216,-,-205,FMN1,33486915
cg23597041,-,93,LRRC57,42840991
cg04307270,-,-111,POLR2J4,44058793
cg01656856,+,285,PHOSPHO2-KLHL23,170550978
cg04205193,+,122,MIIP,12079554
cg02896624,+,-293,SDCBP,59465819
cg10491544,-,100910,FAM204A,120101836
cg11977326,-,-19,ERI3,44820951
cg20410415,+,48,ZCCHC17,31769878
cg24507921,+,65100,VWA2,115999372
cg17091998,-,-16,SAT2,7531139
cg25407064,+,-48,EIF2AK4,40226315
cg05989100,-,-82,SHCBP1,46655291
cg23029100,-,23,ETFA,76603810
cg14198172,-,-72,LAMTOR5,110950546
